id,name,passport_no,birth_date,driving_permit_since
1,Ana Matei,876475938,1981-11-28,1987-09-19
2,Ion Stoica,948924115,1984-02-19,1986-04-05
3,Andreea Ionescu,659387784,1983-04-05,1991-03-12
4,Ioan Ionescu,609753513,1981-04-26,1983-05-30
5,Alexandra Stan,871158714,1986-05-09,1989-07-19
6,Mariana Stoica,858398947,1996-11-06,1997-07-19
7,Vasile Rusu,934232094,1989-08-20,1993-03-10
8,Andreea Radu,220186848,1983-01-06,1998-03-28
9,Mihai Stan,694775159,1996-03-29,1999-07-19
10,Constantin Ciobanu,330413525,1994-03-03,1997-12-05
11,Ioana Popescu,309891013,1983-04-05,1986-07-16
12,Daniela Rusu,151090321,1983-09-08,1992-06-16
13,Andreea Stan,008691413,1997-04-23,1999-07-21
14,Vasile Stoica,208709163,1988-11-09,1993-09-30
15,Dumitru Gheorghe,923022584,1997-05-30,1998-09-23
16,Constantin Rusu,207698456,1990-12-03,1998-05-21
17,Dumitru Dumitru,715084237,1993-07-29,1993-09-17
18,Elena Rusu,992466109,1987-06-17,1995-07-07
19,Nicolae Gheorghe,376960696,1984-08-04,1989-12-17
20,Ioan Dumitru,427878900,1990-12-28,1991-09-15
21,Andreea Gheorghe,063812066,1988-01-01,1998-06-21
22,Maria Popescu,089131934,1985-10-16,1986-02-10
23,Dumitru Dumitru,610471428,1983-04-01,1993-11-30
24,Elena Radu,000348559,1984-06-19,1990-09-16
25,Ioan Rusu,765823694,1995-09-13,1998-06-21
26,Gheorghe Dumitru,555159004,1984-05-22,1990-06-23
27,Alexandru Dumitru,568241730,1994-02-01,1997-05-01
28,Andrei Dumitru,465461187,1992-09-24,1993-07-11
29,Andreea Gheorghe,717604522,1988-09-16,1990-02-07
30,Alexandra Matei,113306016,1995-05-01,1995-10-26
31,Mariana Ionescu,793615349,1987-07-03,1997-07-24
32,Alexandru Matei,110873176,1985-04-22,1993-05-06
33,Dumitru Stan,392137658,1995-05-19,1995-08-13
34,Ion Radu,296687577,1994-05-17,1997-02-09
35,Nicolae Ionescu,055508249,1994-09-05,1995-11-27
36,Ion Matei,711801320,1994-01-28,1997-05-17
37,Andrei Popescu,227586880,1991-01-23,1994-10-08
38,Alexandra Radu,916348967,1996-03-21,1999-02-14
39,Ana Rusu,002489451,1994-02-25,1996-10-08
40,Andreea Stoica,660223450,1987-10-17,1996-12-10
41,Ioan Ciobanu,791256097,1990-05-17,1991-12-15
42,Ana Ciobanu,720099251,1982-01-21,1984-05-01
43,Mariana Gheorghe,710979519,1985-05-17,1993-12-21
44,Andrei Dumitru,418306753,1989-09-11,1998-08-29
45,Mihaela Gheorghe,007408993,1995-03-06,1995-08-07
46,Mihai Radu,886841269,1995-01-27,1999-06-11
47,Ioana Radu,116207660,1983-05-09,1992-09-02
48,Andreea Gheorghe,151150552,1997-03-17,1997-11-30
49,Gheorghe Stan,923031045,1989-03-16,1989-12-29
50,Gheorghe Rusu,271754203,1986-03-23,1989-05-28
51,Elena Gheorghe,485291189,1991-08-14,1994-11-24
52,Andrei Dumitru,223583324,1989-06-13,1999-07-07
53,Elena Matei,290611264,1995-11-16,1996-02-18
54,Mariana Matei,964513758,1997-08-14,1998-01-06
55,Ioan Matei,657354712,1990-03-02,1990-04-05
56,Constantin Stoica,927626623,1983-07-08,1996-01-13
57,Mihaela Gheorghe,571734079,1992-09-27,1994-05-03
58,Mihaela Popescu,148926717,1985-11-27,1992-08-07
59,Mihai Ionescu,014004689,1990-02-03,1993-03-26
60,Ana Ciobanu,543910144,1983-04-16,1988-12-14
61,Mariana Gheorghe,321644829,1983-08-27,1995-07-18
62,Cristina Stan,686447592,1992-12-02,1994-02-06
63,Alexandru Radu,669728457,1996-08-20,1997-04-23
64,Ioana Stan,857074270,1991-09-11,1997-03-05
65,Daniela Stan,760811605,1981-07-29,1989-07-18
66,Ioan Radu,443294316,1994-12-05,1994-12-12
67,Mihaela Gheorghe,566272852,1989-08-13,1991-07-03
68,Nicolae Dumitru,667633739,1990-12-18,1994-11-17
69,Ioan Matei,125023949,1981-09-30,1986-12-30
70,Vasile Ionescu,567088697,1997-11-09,1998-08-27
71,Andreea Stoica,354000250,1996-10-17,1999-06-18
72,Andrei Popescu,639683735,1984-02-25,1985-07-30
73,Daniela Radu,155875408,1994-08-08,1999-07-21
74,Ioan Stan,385334448,1989-04-09,1990-03-03
75,Ana Stoica,304810777,1991-10-25,1995-09-02
76,Ioan Matei,711131263,1992-01-27,1997-03-27
